===== batch learning =====
[168] error:2.170461, param:[37.862208 -46.632949], count: 1
[169] error:3.000000, param:[-13.758027 42.699647], count: 1
[170] error:3.000000, param:[-13.773097 46.722673], count: 1
[171] error:3.000000, param:[-36.782670 -47.412269], count: 1
[172] error:3.000000, param:[-4.425332 35.965481], count: 1
[173] error:3.000000, param:[3.893469 -30.924703], count: 1
[174] error:3.000000, param:[-47.433133 -7.346082], count: 1
[175] error:3.000000, param:[40.972259 41.587268], count: 1
[176] error:3.000000, param:[-3.882523 -38.335323], count: 1
[177] error:2.999999, param:[-8.039846 -3.423270], count: 1
